match_id,innings,over,ball,batter,bowler,non_striker,batter_runs,extras,total_runs,extras_type,wicket_type,player_dismissed
1085945,1,0,1,MDN Hansika,LMM Tahuhu,PRCS Kumarihami,0,0,0,,,
1085945,1,0,2,MDN Hansika,LMM Tahuhu,PRCS Kumarihami,0,0,0,,,
1085945,1,0,3,MDN Hansika,LMM Tahuhu,PRCS Kumarihami,0,1,1,wides,,
1085945,1,0,4,MDN Hansika,LMM Tahuhu,PRCS Kumarihami,0,0,0,,,
1085945,1,0,5,MDN Hansika,LMM Tahuhu,PRCS Kumarihami,1,0,1,,,
1085945,1,0,6,PRCS Kumarihami,LMM Tahuhu,MDN Hansika,0,0,0,,,
1085945,1,0,7,PRCS Kumarihami,LMM Tahuhu,MDN Hansika,0,0,0,,,
1085945,1,1,1,MDN Hansika,HR Huddleston,PRCS Kumarihami,0,0,0,,,
1085945,1,1,2,MDN Hansika,HR Huddleston,PRCS Kumarihami,0,0,0,,,
1085945,1,1,3,MDN Hansika,HR Huddleston,PRCS Kumarihami,0,0,0,,,
1085945,1,1,4,MDN Hansika,HR Huddleston,PRCS Kumarihami,0,0,0,,,
1085945,1,1,5,MDN Hansika,HR Huddleston,PRCS Kumarihami,0,0,0,,,
1085945,1,1,6,MDN Hansika,HR Huddleston,PRCS Kumarihami,0,1,1,legbyes,,
1085945,1,2,1,MDN Hansika,LMM Tahuhu,PRCS Kumarihami,0,0,0,,,
1085945,1,2,2,MDN Hansika,LMM Tahuhu,PRCS Kumarihami,4,0,4,,,
1085945,1,2,3,MDN Hansika,LMM Tahuhu,PRCS Kumarihami,0,0,0,,,
1085945,1,2,4,MDN Hansika,LMM Tahuhu,PRCS Kumarihami,1,0,1,,,
1085945,1,2,5,PRCS Kumarihami,LMM Tahuhu,MDN Hansika,0,0,0,,,
1085945,1,2,6,PRCS Kumarihami,LMM Tahuhu,MDN Hansika,1,0,1,,,
1085945,1,3,1,PRCS Kumarihami,HR Huddleston,MDN Hansika,1,0,1,,,
1085945,1,3,2,MDN Hansika,HR Huddleston,PRCS Kumarihami,0,0,0,,,
1085945,1,3,3,MDN Hansika,HR Huddleston,PRCS Kumarihami,1,0,1,,,
1085945,1,3,4,PRCS Kumarihami,HR Huddleston,MDN Hansika,0,0,0,,,
1085945,1,3,5,PRCS Kumarihami,HR Huddleston,MDN Hansika,0,0,0,,,
1085945,1,3,6,PRCS Kumarihami,HR Huddleston,MDN Hansika,0,0,0,,,
1085945,1,4,1,MDN Hansika,LMM Tahuhu,PRCS Kumarihami,2,0,2,,,
1085945,1,4,2,MDN Hansika,LMM Tahuhu,PRCS Kumarihami,2,0,2,,,
1085945,1,4,3,MDN Hansika,LMM Tahuhu,PRCS Kumarihami,1,0,1,,,
1085945,1,4,4,PRCS Kumarihami,LMM Tahuhu,MDN Hansika,0,0,0,,,
1085945,1,4,5,PRCS Kumarihami,LMM Tahuhu,MDN Hansika,0,0,0,,,
1085945,1,4,6,PRCS Kumarihami,LMM Tahuhu,MDN Hansika,0,0,0,,,
1085945,1,5,1,MDN Hansika,HR Huddleston,PRCS Kumarihami,4,0,4,,,
1085945,1,5,2,MDN Hansika,HR Huddleston,PRCS Kumarihami,0,0,0,,,
1085945,1,5,3,MDN Hansika,HR Huddleston,PRCS Kumarihami,4,0,4,,,
1085945,1,5,4,MDN Hansika,HR Huddleston,PRCS Kumarihami,0,0,0,,,
1085945,1,5,5,MDN Hansika,HR Huddleston,PRCS Kumarihami,4,0,4,,,
1085945,1,5,6,MDN Hansika,HR Huddleston,PRCS Kumarihami,0,0,0,,,
1085945,1,6,1,PRCS Kumarihami,SFM Devine,MDN Hansika,0,0,0,,,
1085945,1,6,2,PRCS Kumarihami,SFM Devine,MDN Hansika,0,0,0,,,
1085945,1,6,3,PRCS Kumarihami,SFM Devine,MDN Hansika,0,0,0,,,
1085945,1,6,4,PRCS Kumarihami,SFM Devine,MDN Hansika,0,0,0,,,
1085945,1,6,5,PRCS Kumarihami,SFM Devine,MDN Hansika,4,0,4,,,
1085945,1,6,6,PRCS Kumarihami,SFM Devine,MDN Hansika,0,0,0,,,
1085945,1,7,1,MDN Hansika,AM Peterson,PRCS Kumarihami,0,0,0,,,
1085945,1,7,2,MDN Hansika,AM Peterson,PRCS Kumarihami,0,0,0,,,
1085945,1,7,3,MDN Hansika,AM Peterson,PRCS Kumarihami,1,0,1,,,
