match_id,innings,bowler,team,overs,deliveries,legal_deliveries,runs_conceded,wickets,economy,extras_given
1085945,1,LMM Tahuhu,New Zealand,9.0,59,54,39,1,4.33,5
1085945,1,HR Huddleston,New Zealand,10.0,60,60,36,5,3.6,1
1085945,1,SFM Devine,New Zealand,6.0,38,36,31,1,5.17,2
1085945,1,AM Peterson,New Zealand,4.0,25,24,9,0,2.25,1
1085945,1,AC Kerr,New Zealand,5.0,31,30,13,1,2.6,1
1085945,1,AE Satterthwaite,New Zealand,8.0,48,48,21,0,2.62,0
1085945,1,EM Bermingham,New Zealand,5.0,31,30,28,0,5.6,2
1085945,1,SW Bates,New Zealand,3.0,18,18,11,0,3.67,0
1085945,2,KDU Prabodhani,Sri Lanka,7.0,42,42,29,0,4.14,0
1085945,2,HHC Gunaratne,Sri Lanka,5.0,31,30,20,1,4.0,1
1085945,2,HASD Siriwardene,Sri Lanka,5.0,30,30,34,0,6.8,1
1085945,2,SS Weerakkody,Sri Lanka,6.0,36,36,17,0,2.83,0
1085945,2,I Ranaweera,Sri Lanka,4.0,24,24,24,0,6.0,0
1085945,2,AC Jayangani,Sri Lanka,4.0,25,24,27,0,6.75,1
1085945,2,PRCS Kumarihami,Sri Lanka,4.0,24,24,18,0,4.5,0
1085945,2,LE Kaushalya,Sri Lanka,2.4,16,16,20,0,7.5,0
1085946,1,A Shrubsole,England,6.0,38,36,37,0,6.17,2
1085946,1,KH Brunt,England,7.0,43,42,50,0,7.14,1
1085946,1,NR Sciver,England,3.0,18,18,18,0,6.0,0
1085946,1,D Hazell,England,10.0,62,60,51,1,5.1,6
1085946,1,JL Gunn,England,10.0,61,60,46,0,4.6,1
1085946,1,A Hartley,England,7.0,42,42,38,0,5.43,0
1085946,1,HC Knight,England,7.0,42,42,41,2,5.86,0
1085946,2,J Goswami,India,7.0,42,42,43,0,6.14,4
1085946,2,E Bisht,India,9.0,54,54,43,0,4.78,0
1085946,2,S Pandey,India,7.0,43,42,35,2,5.0,1
1085946,2,Poonam Yadav,India,10.0,61,60,51,1,5.1,1
1085946,2,H Kaur,India,6.0,36,36,27,0,4.5,0
1085946,2,DB Sharma,India,8.3,52,51,47,3,5.53,1
1085947,1,S Ismail,South Africa,9.0,56,54,52,2,5.78,3
1085947,1,M Kapp,South Africa,10.0,62,60,51,1,5.1,5
1085947,1,A Khaka,South Africa,10.0,61,60,34,0,3.4,2
1085947,1,M Daniels,South Africa,10.0,61,60,22,2,2.2,2
1085947,1,D van Niekerk,South Africa,5.0,30,30,14,1,2.8,0
1085947,1,CL Tryon,South Africa,2.0,13,12,15,0,7.5,1
1085947,1,S Luus,South Africa,4.0,24,24,18,1,4.5,0
1085947,2,Asmavia Iqbal,Pakistan,10.0,61,60,55,0,5.5,1
1085947,2,Sadia Yousuf,Pakistan,10.0,61,60,30,2,3.0,1
1085947,2,Sana Mir,Pakistan,9.0,55,54,27,1,3.0,1
1085947,2,Nashra Sandhu,Pakistan,10.0,61,60,32,0,3.2,2
